k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
5,0.11071603551627271,100,10000000000.0,1e-06,0.00039,4.415019252506155e-05,0.000165,2.8720443502843062e-05,182.385965,83.629315,182.76639594039136,83.7663959486844,0.541675068232978,0.0003655327918807827,0.0001675327918973688,0.00016750757271846852,0.00036540611943122823
5,0.22880930618750026,100,10000000000.0,1e-06,0.00055,5.2426019303395534e-05,0.000295,3.840006347651003e-05,244.94148,146.07108,245.16448596390975,146.16448597838024,0.4038105258039011,0.0004903289719278195,0.0002923289719567605,0.00029224848532143527,0.0004900978598309886
5,0.4728646429027017,100,10000000000.0,1e-06,0.00051,5.04846461807944e-05,0.000345,4.152595423346705e-05,303.079725,204.844205,303.41093775345706,204.41093777369403,0.32629014864390804,0.000606821875506914,0.00040882187554738803,0.00040866169019334133,0.0006064651641575089
5,0.9772372209558107,100,10000000000.0,1e-06,0.00025,3.535091936569684e-05,5.5e-05,1.658266790959766e-05,121.68138,22.744265,121.79570793393938,22.795707936196266,0.8128365250066086,0.00024359141586787877,4.559141587239253e-05,4.559011234926073e-05,0.00024353670641506488
100,1e-06,100,10000000000.0,1e-06,0.000385,4.386637522066305e-05,0.00024,3.463685897999413e-05,199.08203,100.554485,199.01979898009787,100.01979899000001,0.49743794585983847,0.0003980395979601957,0.00020003959798000002,0.00020007899785884592,0.0003980399762358535
100,2.06663203862525e-06,100,10000000000.0,1e-06,0.000345,4.1525954233467043e-05,0.00018,2.9997299878489073e-05,198.915435,99.955675,199.04091822948158,100.04091823938583,0.49738516517470555,0.00039808183645896313,0.00020008183647877165,0.00020012123622577266,0.00039808219795996273
100,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000405,4.4990886577172504e-05,0.000255,3.570258919182194e-05,198.577635,100.387005,199.08456380412596,100.08456381403454,0.49727612276105393,0.0003981691276082519,0.00020016912762806907,0.00020020852709128935,0.0003981694544310121
100,8.826519269759978e-06,100,10000000000.0,1e-06,0.00049,4.948534631585394e-05,0.000245,3.4995712237358446e-05,198.582855,100.314295,199.17476253729134,100.17476254720883,0.4970509251720424,0.00039834952507458265,0.00020034952509441766,0.00020038892392288117,0.00039834978018237643
100,1.8241167512429113e-05,100,10000000000.0,1e-06,0.000425,4.6087925479457184e-05,0.000215,3.278366780883433e-05,199.100635,100.68817,199.36116752490582,100.36116753484178,0.4965861768325376,0.00039872233504981163,0.00020072233506968355,0.0002007617323801155,0.0003987224417449874
100,3.769778120311598e-05,100,10000000000.0,1e-06,0.0004,4.471241438347967e-05,0.000175,2.9577810517345597e-05,199.591785,101.12329,199.74638692207938,100.74638693205344,0.49562848928349135,0.0003994927738441587,0.00020149277386410688,0.00020153216715661348,0.0003994925729531154
100,7.79074424194442e-05,100,10000000000.0,1e-06,0.00047,4.8978520802490554e-05,0.000255,3.570258919182194e-05,200.280835,102.054145,200.54244616679244,101.54244617684533,0.4936610771547495,0.00040108489233358486,0.00020308489235369066,0.0002031242735816484,0.00040108405205146536
100,0.00016100601655137526,100,10000000000.0,1e-06,0.000405,4.4990886577172504e-05,0.00023,3.3907749851619476e-05,201.94736,103.32804,202.18740482113924,103.18740483135497,0.4896447435851037,0.00040437480964227845,0.00020637480966270992,0.0002064141498992652,0.0004043726320755384
100,0.000332740192216499,100,10000000000.0,1e-06,0.000375,4.329315043976356e-05,0.000205,3.201233941779326e-05,205.71978,106.85934,205.58606256126822,106.58606257182042,0.4815501535272805,0.0004111721251225364,0.00021317212514364084,0.00021321131212153987,0.0004111671160188943
100,0.0006876515417729402,100,10000000000.0,1e-06,0.00041,4.5267642969344005e-05,0.000255,3.570258919182193e-05,212.110255,113.89869,212.60613666832023,113.60613667956746,0.46564977634300075,0.00042521227333664044,0.0002272122733591349,0.00022725085121359244,0.0004252011230103571
100,0.0014211227076380076,100,10000000000.0,1e-06,0.00052,5.0976935961275654e-05,0.000265,3.639572605403004e-05,227.039355,128.0259,227.09824044691558,128.0982404595975,0.4359346853260161,0.00045419648089383113,0.00025619648091919497,0.0002562325542842671,0.00045417140572070005
100,0.0029369377184225672,100,10000000000.0,1e-06,0.00052,5.0976935961275654e-05,0.00034,4.1224046380722996e-05,256.81229,158.423095,256.9805782875546,157.98057830319496,0.38524312087733414,0.0005139611565751092,0.00031596115660638993,0.00031598676173182,0.0005139020646848238
100,0.006069569584339014,100,10000000000.0,1e-06,0.000695,5.892864222939471e-05,0.00047,4.846540518761811e-05,318.17533,219.705445,318.44804997369675,219.44804999542242,0.31088273263551636,0.0006368960999473934,0.00043889609999084485,0.000438877711954195,0.0006367445760686445
100,0.012543566963660348,100,10000000000.0,1e-06,0.00099,7.032140143654706e-05,0.000735,6.0599495666218194e-05,444.266295,345.004835,444.24726909014515,345.247269124325,0.22284886560716577,0.0008884945381802902,0.0006904945382486499,0.0006902918818701813,0.0008880596111431163
100,0.02592293736574172,100,10000000000.0,1e-06,0.00136,8.240601919762901e-05,0.001125,7.495780062808674e-05,701.708385,600.639415,698.9685795955988,599.9685796549962,0.1416372678695813,0.0013979371591911977,0.0011999371593099924,0.0011989736851709537,0.0013965406838120534
100,0.05357317289531737,100,10000000000.0,1e-06,0.002395,0.00010929922174928785,0.002055,0.00010150805325194649,1201.53701,1102.74452,1202.9211309699078,1103.921131079197,0.0822996598379544,0.0024058422619398154,0.002207842262158394,0.0022038442080722686,0.00240101407184556
100,0.11071603551627271,100,10000000000.0,1e-06,0.00394,0.00014025826891844913,0.00439,0.0001481676061087578,2138.218345,2051.406785,2148.4682762344924,2049.4682764373915,0.04607933982186274,0.004296936552468984,0.0040989365528747825,0.004083762549802352,0.004280187284418207
100,0.22880930618750026,100,10000000000.0,1e-06,0.00735,0.00019191114480404727,0.007145,0.00018965691359663111,3688.67276,3611.908635,3692.8209814317124,3593.8209817875045,0.026808773060487123,0.0073856419628634245,0.007187641963575009,0.007138833260399496,0.007334040983010296
100,0.4728646429027017,100,10000000000.0,1e-06,0.01032,0.00022851146141933453,0.010005,0.00022466530634479378,5146.87567,5042.08695,5134.420637730158,5035.420638228669,0.0192816300974622,0.010268841275460315,0.010070841276457338,0.009973417556368732,0.010167489240510457
100,0.9772372209558107,100,10000000000.0,1e-06,0.001405,8.375637214564635e-05,0.000985,7.049928279777038e-05,640.783425,540.402255,639.443766014637,540.4437660681415,0.15482205818271977,0.001278887532029274,0.001080887532136283,0.0010801483266249425,0.0012777622332118827
