k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
100,1e-06,100,10000000000.0,1e-06,0.00046,4.7947283551834295e-05,0.00018,2.9997299878489066e-05,199.243735,100.393745,199.01979898009787,100.01979899000001,0.49743794585983847,0.0003980395979601957,0.00020003959798000002,0.00020007902954195008,0.00039811843152214575
100,2.06663203862525e-06,100,10000000000.0,1e-06,0.00048,4.897803589365339e-05,0.000175,2.9577810517345594e-05,198.322535,100.113255,199.04091822948158,100.04091823938583,0.49738516517470555,0.00039808183645896313,0.00020008183647877165,0.00020012130170993442,0.00039816070369012586
100,4.2709679830723475e-06,100,10000000000.0,1e-06,0.00032,3.9993599487918076e-05,0.000215,3.2783667808834335e-05,198.8614,100.30186,199.08456380412596,100.08456381403454,0.49727612276105393,0.0003981691276082519,0.00020016912762806907,0.00020020866245218477,0.0003982480644323676
100,8.826519269759978e-06,100,10000000000.0,1e-06,0.000445,4.715940918841116e-05,0.00019,3.0819141779095657e-05,199.467295,100.21211,199.17476253729134,100.17476254720883,0.4970509251720424,0.00039834952507458265,0.00020034952509441766,0.00020038920378887768,0.00039842860576904266
100,1.8241167512429113e-05,100,10000000000.0,1e-06,0.000435,4.662675063737554e-05,0.0002,3.1619614165893926e-05,198.866055,100.14331,199.36116752490582,100.36116753484178,0.4965861768325376,0.00039872233504981163,0.00020072233506968355,0.00020076231129329404,0.0003988017132734221
100,3.769778120311598e-05,100,10000000000.0,1e-06,0.0004,4.471241438347967e-05,0.0002,3.1619614165893926e-05,200.170165,100.967885,199.74638692207938,100.74638693205344,0.49562848928349135,0.0003994927738441587,0.00020149277386410688,0.00020153336583404236,0.00039957276781409415
100,7.79074424194442e-05,100,10000000000.0,1e-06,0.000395,4.443219412768179e-05,0.000195,3.1221945407037024e-05,200.254075,101.70845,200.54244616679244,101.54244617684533,0.4936610771547495,0.00040108489233358486,0.00020308489235369066,0.00020312676053024935,0.0004011661625101434
100,0.00016100601655137526,100,10000000000.0,1e-06,0.000365,4.271222161161839e-05,0.000215,3.2783667808834335e-05,202.623795,103.07549,202.18740482113924,103.18740483135497,0.4896447435851037,0.00040437480964227845,0.00020637480966270992,0.00020641933102500133,0.0004044587330045696
100,0.000332740192216499,100,10000000000.0,1e-06,0.000435,4.6626750637375544e-05,0.000265,3.639572605403003e-05,206.03832,106.471475,205.58606256126822,106.58606257182042,0.4815501535272805,0.0004111721251225364,0.00021317212514364084,0.00021322219683305306,0.0004112615988119481
100,0.0006876515417729402,100,10000000000.0,1e-06,0.00037,4.3003668448168475e-05,0.0002,3.1619614165893926e-05,212.62427,113.30648,212.60613666832023,113.60613667956746,0.46564977634300075,0.00042521227333664044,0.0002272122733591349,0.00022727410204961533,0.0004253135040271198
